,creator,duration,id,labels,ladder,title,views
40,,260.0,tGSJXkKPZ0s,"[1, 81]","[{'160 - 192x144 (144p)': 132.069}, {'133 - 320x240 (240p)': 256.707}, {'134 - 480x360 (360p)': 357.915}, {'135 - 640x480 (480p)': 658.834}, {'18 - 450x360 (medium)': 357.621}]",Jewelpet DS : Let's play Together in the Room of Magic ! Jewelflash,7144.0
41,,325.0,tGygBqsSiy4,"[0, 1, 929]","[{'160 - 192x144 (144p)': 112.431}, {'133 - 320x240 (240p)': 247.625}, {'134 - 480x360 (360p)': 510.026}, {'135 - 640x480 (480p)': 966.45}, {'18 - 480x360 (medium)': 662.568}]",Crash Mind Over Mutant walkthrough part 27,6555.0
42,Finger Eleven,203.0,tHOJe9t8lWc,"[0, 1, 153, 219]","[{'160 - 256x144 (144p)': 114.056}, {'133 - 426x240 (240p)': 249.267}, {'134 - 640x360 (360p)': 613.144}, {'135 - 854x480 (480p)': 1112.484}, {'136 - 1280x720 (720p)': 2219.288}, {'18 - 640x360 (medium)': 612.633}, {'22 - 1280x720 (hd720)': 1916.69}]",ОФИГЕННО! Counter strike 1.6 android как играть с ботами,2757.0
43,,156.0,tIFgkXs4c2c,[835],"[{'134 - 640x360 (360p)': 637.254}, {'137 - 1920x1080 (1080p)': 4605.275}, {'18 - 640x360 (medium)': 737.019}, {'22 - 1280x720 (hd720)': 3307.641}]",관악구낙성대종합체육센타11시에어로빅 (바람 바람 바람),15782.0
44,,351.0,YudoCcJRVpg,"[184, 429, 2180]","[{'160 - 256x144 (144p)': 115.14}, {'133 - 426x240 (240p)': 251.382}, {'134 - 640x360 (360p)': 609.341}, {'135 - 854x480 (480p)': 1118.355}, {'136 - 1280x720 (720p)': 2221.201}, {'18 - 640x360 (medium)': 606.876}, {'22 - 1280x720 (hd720)': 2620.856}]",SK Global Single Dorm Room Tour :D,9570.0
45,,178.0,lHNoYgqdDGQ,"[63, 633]","[{'160 - 256x144 (144p)': 113.234}, {'133 - 426x240 (240p)': 250.661}, {'134 - 640x360 (360p)': 327.035}, {'135 - 854x480 (480p)': 669.312}, {'136 - 1280x720 (720p)': 1374.647}, {'18 - 640x360 (medium)': 402.339}, {'22 - 1280x720 (hd720)': 3.362}]","FIFA 12 - Die Community fragt, Kaka antwortet",25240.0
46,,453.0,lPh_UIsuW5I,[3],"[{'160 - 192x144 (144p)': 114.741}, {'133 - 320x240 (240p)': 250.654}, {'18 - 320x240 (small)': 335.718}]",dvd fiesta en la azotea belinda 1 niña de ayer,6700.0
47,Mr. Probz,381.0,XgcuOXhDKWs,[284],"[{'160 - 256x144 (144p)': 112.788}, {'133 - 426x240 (240p)': 249.641}, {'134 - 640x360 (360p)': 607.835}, {'135 - 854x480 (480p)': 1126.66}, {'136 - 1280x720 (720p)': 2228.082}, {'137 - 1920x1080 (1080p)': 4190.65}, {'18 - 640x360 (medium)': 817.845}, {'22 - 1280x720 (hd720)': 2317.528}]",TUFFI BERGEGGI GOPRO,6585.0
48,,276.0,3Nb2ZTNKZuE,"[0, 1, 35, 85]","[{'160 - 256x144 (144p)': 111.233}, {'133 - 426x240 (240p)': 248.354}, {'134 - 640x360 (360p)': 609.723}, {'135 - 854x480 (480p)': 1113.695}, {'136 - 1280x720 (720p)': 2229.476}, {'298 - 1280x720 (720p60)': 3325.586}, {'137 - 1920x1080 (1080p)': 4168.345}, {'299 - 1920x1080 (1080p60)': 5529.911}, {'18 - 640x360 (medium)': 633.492}, {'22 - 1280x720 (hd720)': 4.022}]",GTA5 Online - Ep 4 - JaltoidGames!,14474.0
49,,378.0,rOlAIodQUcM,"[0, 12]","[{'160 - 256x144 (144p)': 113.539}, {'133 - 426x240 (240p)': 248.482}, {'134 - 640x360 (360p)': 482.238}, {'135 - 854x480 (480p)': 1113.708}, {'136 - 1280x720 (720p)': 2226.117}, {'18 - 640x360 (medium)': 621.719}, {'22 - 1280x720 (hd720)': 2132.662}]",Viola TV zum Derby-Abbruch in Hütteldorf,36118.0
50,,334.0,qPDjehxVNYY,[260],"[{'160 - 256x144 (144p)': 111.4}, {'133 - 426x240 (240p)': 247.728}, {'134 - 640x360 (360p)': 393.978}, {'135 - 854x480 (480p)': 814.083}, {'136 - 1280x720 (720p)': 2016.244}, {'18 - 640x360 (medium)': 476.718}, {'22 - 1280x720 (hd720)': 1485.31}]",Royal Cross-Cut Paper Shredder - Review and Demonstration,45693.0
51,,308.0,qQZKsM9VSpo,"[210, 685]","[{'160 - 256x140 (DASH video)': 108.0}, {'133 - 426x234 (DASH video)': 242.0}, {'134 - 640x352 (DASH video)': 617.237}, {'135 - 854x470 (DASH video)': 1155.0}, {'18 - 640x352 (medium)': 616.17}]",Sergio Veliz; record de ultramaratón,1477.0
52,,183.0,qScNIw_Vqkk,"[3, 4, 6, 9, 10]","[{'160 - 256x144 (DASH video)': 108.0}, {'133 - 426x240 (DASH video)': 242.0}, {'134 - 640x360 (DASH video)': 590.291}, {'135 - 854x480 (DASH video)': 1155.0}, {'136 - 1280x720 (DASH video)': 2226.902}, {'18 - 640x360 (medium)': 633.555}]",Tayo Nalang (live)-Mayonnaise,2219.0
53,,161.0,qVuIahTXi1c,"[5, 49, 80, 466]","[{'160 - 192x144 (144p)': 115.128}, {'133 - 320x240 (240p)': 255.128}, {'18 - 320x240 (small)': 334.387}]",Štai mano piešiniai!(paskaitykite aprasa),10458.0
54,,300.0,eIWOdN8EURw,"[0, 12]","[{'160 - 196x144 (DASH video)': 108.0}, {'133 - 328x240 (DASH video)': 242.0}, {'134 - 492x360 (DASH video)': 604.231}, {'135 - 656x480 (DASH video)': 1155.0}, {'18 - 492x360 (medium)': 572.0}]",Металлист - Волынь - 3:0. Гол: Марко Девич (66'),3438.0
55,,166.0,eJoDnjilW74,[25],"[{'160 - 256x144 (144p)': 110.694}, {'133 - 426x240 (240p)': 256.877}, {'134 - 640x360 (360p)': 604.29}, {'135 - 854x480 (480p)': 1111.531}, {'136 - 1280x720 (720p)': 2210.941}, {'137 - 1920x1080 (1080p)': 4127.486}, {'18 - 640x360 (medium)': 656.935}, {'22 - 1280x720 (hd720)': 1562.656}]",300: Vzestup říše (2014) CZ HD trailer č.2,11168.0
56,,427.0,eLjDn11i0uc,"[88, 184, 307, 380, 497, 1583]","[{'160 - 256x144 (144p)': 122.061}, {'133 - 426x240 (240p)': 250.354}, {'134 - 640x360 (360p)': 608.27}, {'135 - 854x480 (480p)': 1112.412}, {'136 - 1280x720 (720p)': 2238.595}, {'137 - 1920x1080 (1080p)': 4603.938}, {'264 - 1920x1080 (1080p)': 5684.768}, {'18 - 640x360 (medium)': 654.95}, {'22 - 1280x720 (hd720)': 1855.399}]","My Kitchen, Living Room, Renovation Project, Awesome Contractor & Crew",3959.0
57,,229.0,eNz_-hPxnSs,"[0, 12]","[{'160 - 194x144 (144p)': 116.885}, {'133 - 322x240 (240p)': 248.914}, {'18 - 352x262 (small)': 490.175}]",第７２回全国高校サッカー選手権　準決勝,57255.0
58,,180.0,ePbGno1GQMk,"[53, 58, 62, 163]","[{'160 - 256x144 (144p)': 114.524}, {'133 - 426x240 (240p)': 254.365}, {'134 - 640x360 (360p)': 636.215}, {'135 - 854x480 (480p)': 1166.085}, {'136 - 1280x720 (720p)': 2327.847}, {'18 - 640x360 (medium)': 580.146}, {'22 - 1280x720 (hd720)': 1861.306}]",SixC Cranks: Behind The Shop Curtain,25108.0
59,,194.0,ePT7aFIc3Oc,[89],"[{'134 - 480x360 (360p)': 79.447}, {'160 - 192x144 (144p)': 90.118}, {'135 - 640x480 (480p)': 133.182}, {'133 - 320x240 (240p)': 193.176}, {'18 - 480x360 (medium)': 214.527}]",الوادى الجديد/ الخارجة /مهرجان فرحة مصطفى الصغير توزيع الدكتور01128262039,1954.0
60,Ne-Yo,250.0,RzAkMHa_0UE,"[2, 7, 458, 1669]","[{'160 - 192x144 (144p)': 110.919}, {'133 - 320x240 (240p)': 250.073}, {'134 - 480x360 (360p)': 388.376}, {'135 - 640x480 (480p)': 1046.649}, {'18 - 480x360 (medium)': 602.867}]",opel tigra twintop tuning,9142.0
61,,189.0,lsQhQPaNP7k,[0],"[{'160 - 188x144 (DASH video)': 108.0}, {'133 - 312x240 (DASH video)': 242.0}, {'134 - 468x360 (DASH video)': 591.214}, {'135 - 624x480 (DASH video)': 1155.0}, {'136 - 938x720 (DASH video)': 2217.829}, {'18 - 468x360 (medium)': 526.973}, {'22 - 938x720 (hd720)': 1629.776}]",[ Thiên Hạ Đệ Nhất 2013 ] ĐTG2 - Trận BảoNghi vs Thatmuoi ( Vòng Loại ),7698.0
62,Evanescence,227.0,uFa82AedQGg,"[5, 1184, 2328]","[{'160 - 192x144 (144p)': 114.225}, {'133 - 320x240 (240p)': 260.553}, {'134 - 480x360 (360p)': 465.8}, {'135 - 640x480 (480p)': 817.033}, {'18 - 480x360 (medium)': 365.378}]",Death Note- Going Under,11718.0
63,,217.0,af9r_HOe-7c,[3],"[{'160 - 192x144 (144p)': 115.434}, {'133 - 320x240 (240p)': 246.576}, {'134 - 480x360 (360p)': 608.0}, {'135 - 640x480 (480p)': 1116.79}, {'18 - 480x360 (medium)': 687.096}]",ARREMANGALA Y ARREMPUJALA  EL RECUERDO MUSICAL,29295.0
64,,264.0,ckO1MEL4caU,"[4, 13, 227, 1680]","[{'160 - 256x144 (144p)': 113.984}, {'133 - 426x240 (240p)': 252.126}, {'134 - 640x360 (360p)': 643.817}, {'135 - 854x480 (480p)': 1297.356}, {'136 - 1280x720 (720p)': 2428.025}, {'298 - 1280x720 (720p60)': 3477.277}, {'137 - 1920x1080 (1080p)': 4370.763}, {'299 - 1920x1080 (1080p60)': 5792.293}, {'18 - 640x360 (medium)': 737.239}, {'22 - 1280x720 (hd720)': 2066.64}]",名探偵コナンメインテーマ　東北方面音楽隊 自衛艦in仙台港2013,1107144.0
65,,412.0,cmcVpM5fK5A,[8],"[{'160 - 192x144 (DASH video)': 108.0}, {'133 - 320x240 (DASH video)': 242.0}, {'134 - 480x360 (DASH video)': 612.345}, {'135 - 640x480 (DASH video)': 1155.0}, {'18 - 480x360 (medium)': 598.141}]",7 To Smoke (part 1),1018.0
66,,150.0,_AN9U4D1Cww,"[11, 20, 22, 123, 176]","[{'160 - 256x144 (144p)': 113.747}, {'133 - 426x240 (240p)': 247.875}, {'134 - 640x360 (360p)': 544.773}, {'135 - 854x480 (480p)': 1105.831}, {'136 - 1280x720 (720p)': 2178.865}, {'137 - 1920x1080 (1080p)': 4312.014}, {'18 - 640x360 (medium)': 432.117}, {'22 - 1280x720 (hd720)': 1508.184}]",PASTELES DE VAINILLA - Receta de postre casero,1628.0
67,,239.0,K9w2TQRp-ic,[14],"[{'160 - 256x144 (144p)': 112.107}, {'133 - 426x240 (240p)': 271.265}, {'134 - 640x360 (360p)': 631.187}, {'135 - 854x480 (480p)': 1185.337}, {'136 - 1280x720 (720p)': 2299.509}, {'137 - 1920x1080 (1080p)': 3878.796}, {'264 - 2048x1152 (1080p)': 5418.31}, {'18 - 640x360 (medium)': 645.764}]",Summertime Sadness by Moonlight (Oficial),9189.0
68,,226.0,KElHeTp5PmY,"[1, 357]","[{'160 - 256x144 (144p)': 112.457}, {'133 - 426x240 (240p)': 254.537}, {'134 - 640x360 (360p)': 607.692}, {'135 - 854x480 (480p)': 1112.509}, {'136 - 1280x720 (720p)': 2224.517}, {'137 - 1920x1080 (1080p)': 4450.758}, {'264 - 1920x1080 (1080p)': 6615.971}, {'18 - 640x360 (medium)': 649.254}, {'22 - 1280x720 (hd720)': 2080.707}]",Skyrim: Secret Items-Auriels Shield,3158.0
69,Coldplay,135.0,6HaTNVSnHfM,[1075],"[{'160 - 168x144 (DASH video)': 108.0}, {'133 - 282x240 (DASH video)': 242.0}, {'134 - 422x360 (DASH video)': 411.398}, {'135 - 562x480 (DASH video)': 1155.0}, {'18 - 450x360 (medium)': 540.148}]",Dean Winchester Season 4 - Pain,1556.0
70,,294.0,6JsyAfDtky8,"[3, 4, 28, 33, 38]","[{'160 - 192x144 (144p)': 111.967}, {'133 - 320x240 (240p)': 248.912}, {'134 - 480x360 (360p)': 617.352}, {'135 - 640x480 (480p)': 1129.447}, {'18 - 480x360 (medium)': 610.305}]",Alanis Morissette - Not As We (Live Brixton London 19/06),6323.0
71,CMA,174.0,rwQ_qJFooOE,"[0, 27, 972]","[{'160 - 256x144 (144p)': 111.083}, {'133 - 426x240 (240p)': 251.31}, {'134 - 640x360 (360p)': 609.571}, {'135 - 854x480 (480p)': 1150.766}, {'136 - 1280x720 (720p)': 2282.51}, {'18 - 640x360 (medium)': 697.381}, {'22 - 1280x720 (hd720)': 3.868}]",Minecraft Speed Render - RenziTheKid,1756.0
72,,230.0,rzjq73_Ll_k,"[0, 12]","[{'160 - 256x144 (144p)': 110.949}, {'133 - 426x240 (240p)': 248.079}, {'134 - 640x360 (360p)': 612.235}, {'135 - 854x480 (480p)': 1118.567}, {'136 - 1280x720 (720p)': 2225.668}, {'137 - 1920x1080 (1080p)': 4144.463}, {'18 - 640x360 (medium)': 717.224}, {'22 - 1280x720 (hd720)': 2118.952}]",Best Football Skills 2014/2015 - Volume 1 HD,9893.0
